PRN;Time_UTC;Azimuth;Elevation;MP_C1C;MP_C1P;MP_C2C;MP_C2P;SNR_S1C;SNR_S1P;SNR_S2C;SNR_S2P
R14;2022-01-01 20:56:00;293.66;55.20;0.3709;-0.2266;0.1794;0.0404;50.2;48.8;49.5;48.8
R14;2022-01-01 20:56:30;293.23;55.32;-0.0794;-0.2910;-0.6214;-0.1579;49.9;48.8;49.5;49.4
R14;2022-01-01 20:57:00;292.80;55.44;0.4357;0.1110;0.3730;0.2212;50.4;49.2;49.9;49.4
R14;2022-01-01 20:57:30;292.36;55.56;0.8577;0.0202;-0.1050;0.2361;50.3;49.1;49.9;49.1
R14;2022-01-01 20:58:00;291.92;55.67;-0.0235;-0.0076;0.6195;0.0656;50.5;49.4;50.1;49.3
R14;2022-01-01 20:58:30;291.48;55.78;-0.2443;-0.0733;-0.1521;0.0139;50.3;49.5;49.9;49.1
R14;2022-01-01 20:59:00;291.03;55.89;0.0519;0.1217;0.0977;0.0167;50.3;49.1;50.3;48.9
R14;2022-01-01 20:59:30;290.58;55.99;0.3656;0.3787;0.1210;-0.2368;51.1;49.7;49.4;48.7
R14;2022-01-01 21:00:00;290.12;56.09;0.3832;-0.0940;-0.0912;-0.0242;49.9;49.2;50.3;49.4
R14;2022-01-01 21:00:30;289.67;56.19;0.2068;-0.2835;-0.0842;0.2029;51.0;49.4;49.9;49.3
R14;2022-01-01 21:01:00;289.20;56.29;0.0366;0.1440;0.2461;0.1033;50.7;49.8;49.8;49.8
R14;2022-01-01 21:01:30;288.74;56.38;0.0001;0.3646;-0.0402;0.1489;51.2;49.4;50.0;49.4
R14;2022-01-01 21:02:00;288.27;56.47;0.5832;-0.2859;0.2991;-0.1278;50.7;49.6;49.8;49.9
R14;2022-01-01 21:02:30;287.80;56.56;0.0183;0.2905;0.2561;0.0031;51.1;50.1;49.6;49.1
R14;2022-01-01 21:03:00;287.32;56.64;0.0292;-0.2239;0.3249;-0.0200;50.6;50.2;50.0;49.3
R14;2022-01-01 21:03:30;286.85;56.72;0.5554;0.0694;-0.0185;-0.0715;51.9;50.1;49.5;48.8
R14;2022-01-01 21:04:00;286.37;56.80;0.4727;-0.1349;-0.1547;-0.1305;50.9;49.6;49.4;48.6
R14;2022-01-01 21:04:30;285.88;56.88;0.5957;0.1957;-0.2078;0.0563;51.4;50.4;49.7;48.8
R14;2022-01-01 21:05:00;285.39;56.95;0.4371;0.1207;0.1500;-0.0101;50.9;50.0;50.2;49.0
R14;2022-01-01 21:05:30;284.90;57.02;-0.3119;0.2796;-0.1645;-0.1605;50.9;50.3;49.7;48.9
R14;2022-01-01 21:06:00;284.41;57.09;-0.4382;-0.1011;0.1780;0.0770;51.2;49.7;49.7;48.7
R14;2022-01-01 21:06:30;283.92;57.15;0.3456;-0.0593;-0.0895;-0.1155;52.1;50.0;49.5;48.5
R14;2022-01-01 21:07:00;283.42;57.21;-0.3597;-0.2555;-0.1850;-0.1410;51.7;50.5;49.5;48.8
R14;2022-01-01 21:07:30;282.92;57.27;-0.3315;-0.1387;-0.3699;0.0131;51.4;49.8;49.6;48.7
R14;2022-01-01 21:08:00;282.42;57.32;-0.2601;-0.1268;0.2012;-0.0977;51.0;49.5;49.3;48.0
R14;2022-01-01 21:08:30;281.91;57.37;-0.2091;-0.3258;-0.0580;-0.0398;51.2;50.0;49.6;48.6
R14;2022-01-01 21:09:00;281.41;57.42;0.0900;-0.2932;0.3948;-0.1122;51.4;50.1;49.5;48.3
R14;2022-01-01 21:09:30;280.90;57.46;-0.0624;-0.3741;-0.1230;0.1003;51.1;50.3;49.5;48.6
R14;2022-01-01 21:10:00;280.39;57.50;-0.1465;0.0363;-0.2182;-0.0290;52.2;50.5;49.9;48.0
R14;2022-01-01 21:10:30;279.88;57.54;0.5186;0.3357;0.0650;-0.1459;52.1;51.2;48.8;48.4
R14;2022-01-01 21:11:00;279.36;57.58;0.2132;-0.0199;-0.0014;-0.0343;52.6;50.9;49.2;48.6
R14;2022-01-01 21:11:30;278.85;57.61;0.1826;-0.2689;0.0693;-0.0356;52.3;51.0;49.4;48.3
R14;2022-01-01 21:12:00;278.33;57.64;-0.2832;0.0689;0.0914;0.0777;52.1;50.4;49.4;47.8
R14;2022-01-01 21:12:30;277.81;57.66;0.0626;0.0860;-0.3692;-0.1170;51.4;51.0;49.8;48.3
R14;2022-01-01 21:13:00;277.30;57.68;0.1002;0.1104;0.0273;-0.0935;52.6;51.0;49.5;48.3
R14;2022-01-01 21:13:30;276.78;57.70;0.2557;0.0944;0.1204;0.0997;52.0;50.9;49.5;48.5
R14;2022-01-01 21:14:00;276.26;57.71;-0.1442;0.3198;-0.3469;-0.0777;52.8;51.3;48.7;47.6
R14;2022-01-01 21:14:30;275.73;57.73;-0.1502;0.3425;-0.1675;-0.0173;52.5;51.1;48.8;48.4
R14;2022-01-01 21:15:00;275.21;57.73;0.2817;0.4295;-0.2687;-0.1216;52.6;51.3;48.9;48.0
R14;2022-01-01 21:15:30;274.69;57.74;0.0124;0.0036;0.1641;0.1141;52.4;51.4;49.1;48.2
R14;2022-01-01 21:16:00;274.17;57.74;0.1029;0.3864;0.2456;0.0856;53.2;51.6;49.2;48.5
R14;2022-01-01 21:16:30;273.64;57.74;0.1631;0.4546;0.3354;0.1954;52.8;51.9;49.4;48.2
R14;2022-01-01 21:17:00;273.12;57.73;0.5035;0.3663;0.5371;-0.0019;53.7;51.8;49.4;48.2
R14;2022-01-01 21:17:30;272.60;57.72;0.0846;0.3424;0.6817;0.0210;53.0;51.6;49.1;48.3
R14;2022-01-01 21:18:00;272.07;57.71;-0.1328;0.2888;-0.1618;0.1525;53.2;51.5;48.7;48.6
R14;2022-01-01 21:18:30;271.55;57.69;0.0459;0.1779;0.4498;0.2531;52.6;51.5;49.3;48.4
R14;2022-01-01 21:19:00;271.03;57.68;-0.0540;0.0556;0.3397;0.3169;52.8;51.4;48.6;48.1
R14;2022-01-01 21:19:30;270.51;57.65;0.4097;0.1922;-0.2002;-0.0551;53.0;52.1;49.1;48.3
R14;2022-01-01 21:20:00;269.98;57.63;0.1293;0.0890;0.3072;0.0822;53.5;52.0;49.2;48.0
R14;2022-01-01 21:20:30;269.46;57.60;-0.1103;0.2684;-0.1298;-0.0335;52.8;51.5;48.9;47.8
R14;2022-01-01 21:21:00;268.94;57.57;-0.7013;0.2819;0.0368;0.0428;52.6;51.9;48.7;47.9
R14;2022-01-01 21:21:30;268.43;57.53;-0.0266;0.0152;-0.3346;0.2634;52.9;51.9;49.1;48.5
R14;2022-01-01 21:22:00;267.91;57.49;-0.1973;0.5015;0.3346;-0.0021;53.7;52.3;48.7;48.0
R14;2022-01-01 21:22:30;267.39;57.45;0.4731;0.2600;0.3733;0.0766;53.5;51.7;48.5;47.8
R14;2022-01-01 21:23:00;266.88;57.40;0.2404;0.1679;-0.4968;0.1602;53.5;52.0;48.6;47.5
R14;2022-01-01 21:23:30;266.36;57.36;-0.3106;0.4630;-0.3900;0.0973;53.4;52.2;48.5;47.7
R14;2022-01-01 21:24:00;265.85;57.30;0.1318;0.1193;0.1157;0.1527;52.7;51.7;48.3;47.9
R14;2022-01-01 21:24:30;265.34;57.25;0.1992;0.3627;-0.2876;0.1935;53.6;51.7;49.2;47.9
R14;2022-01-01 21:25:00;264.83;57.19;0.4380;-0.1755;-0.0566;0.0063;53.2;51.7;48.9;47.7
R14;2022-01-01 21:25:30;264.33;57.13;-0.0188;-0.0161;0.1690;-0.1609;52.6;51.4;48.9;47.9
R14;2022-01-01 21:26:00;263.82;57.06;-0.0659;-0.0041;0.7337;0.3088;52.9;51.5;49.4;48.2
R14;2022-01-01 21:26:30;263.32;57.00;0.6025;-0.1519;0.7261;0.1691;53.0;51.6;48.6;48.2
R14;2022-01-01 21:27:00;262.82;56.92;0.1314;-0.1299;0.3083;-0.0997;52.9;51.4;48.8;48.2
R14;2022-01-01 21:27:30;262.32;56.85;0.2148;0.0387;-0.3778;-0.1686;52.9;51.4;48.6;47.5
R14;2022-01-01 21:28:00;261.83;56.77;0.0759;0.0094;-0.2169;0.1631;53.2;51.2;49.1;47.9
R14;2022-01-01 21:28:30;261.33;56.69;-0.2861;-0.0954;0.4831;0.0792;52.6;51.9;48.6;48.4
R14;2022-01-01 21:29:00;260.84;56.61;-0.2709;0.1596;-0.8007;-0.1734;52.4;51.5;48.8;48.0
R14;2022-01-01 21:29:30;260.35;56.52;-0.3011;0.0033;0.0907;0.1050;52.4;51.5;48.8;47.8
R14;2022-01-01 21:30:00;259.87;56.43;0.0241;-0.0298;-0.4136;0.0527;52.3;51.6;48.8;48.2
R14;2022-01-01 21:30:30;259.39;56.34;-0.1719;-0.0154;-0.1437;0.2094;52.5;51.8;49.1;48.0
R14;2022-01-01 21:31:00;258.91;56.25;-0.4153;0.0813;0.0751;-0.0087;52.9;51.0;48.7;47.6
R14;2022-01-01 21:31:30;258.43;56.15;-0.0002;0.0154;-0.0044;-0.0061;52.6;51.1;48.9;47.9
R14;2022-01-01 21:32:00;257.96;56.05;0.2818;0.0586;-0.0103;-0.0363;52.7;51.6;48.6;47.6
R14;2022-01-01 21:32:30;257.49;55.94;-0.1163;0.2509;-0.0402;0.1960;53.0;51.4;48.8;48.6
R14;2022-01-01 21:33:00;257.02;55.84;-0.3474;-0.1599;-0.0218;0.0455;52.2;51.1;48.5;48.0
R14;2022-01-01 21:33:30;256.56;55.73;0.0194;0.1896;-0.1411;0.1219;52.4;51.6;48.7;48.2
R14;2022-01-01 21:34:00;256.10;55.61;-0.2110;-0.1671;0.2225;-0.1067;52.6;51.0;48.9;48.5
R14;2022-01-01 21:34:30;255.64;55.50;-0.0713;0.1645;-0.6544;0.0106;52.1;51.0;49.6;48.3
R14;2022-01-01 21:35:00;255.19;55.38;0.3587;0.3583;0.1790;-0.0038;52.5;51.2;49.3;48.2
R14;2022-01-01 21:35:30;254.74;55.26;0.2452;0.0347;-0.3942;-0.0703;51.9;51.5;48.8;48.1
R14;2022-01-01 21:36:00;254.29;55.14;-0.3707;-0.0899;-0.4843;-0.0570;51.8;50.3;48.9;48.2
R14;2022-01-01 21:36:30;253.85;55.01;-0.0864;-0.1440;-0.3178;-0.1555;51.6;50.7;48.9;48.0
R14;2022-01-01 21:37:00;253.41;54.88;-0.1062;0.0814;-0.1664;0.0856;51.7;50.4;49.3;48.0
R14;2022-01-01 21:37:30;252.97;54.75;-0.4469;0.0559;-0.4384;-0.1281;51.2;50.0;48.8;47.8
R14;2022-01-01 21:38:00;252.54;54.62;-0.0145;-0.1346;-0.6510;-0.1030;51.2;49.8;48.9;47.9
R14;2022-01-01 21:38:30;252.11;54.48;-0.1975;-0.2600;-0.4927;-0.1415;50.7;50.0;48.9;47.8
R14;2022-01-01 21:39:00;251.69;54.34;0.3985;-0.1244;-0.1322;-0.2319;51.1;50.2;48.7;47.7
R14;2022-01-01 21:39:30;251.26;54.20;-0.3290;0.2079;-0.1213;-0.4481;51.2;50.0;48.9;47.7
R14;2022-01-01 21:40:00;250.85;54.06;-0.2271;0.1205;-0.5509;-0.2358;50.8;50.0;49.1;48.0
R14;2022-01-01 21:40:30;250.43;53.91;-0.4671;-0.0349;-0.3829;-0.2908;50.7;49.3;48.1;47.6
R14;2022-01-01 21:41:00;250.02;53.77;0.0417;-0.3337;-0.3735;-0.4675;50.7;49.5;48.4;47.7
R14;2022-01-01 21:41:30;249.62;53.62;-0.4161;-0.5175;0.2460;-0.2770;50.7;48.9;48.8;47.7
R14;2022-01-01 21:42:00;249.21;53.46;-0.1127;0.3161;0.0453;-0.3346;50.8;49.7;48.2;47.9
R14;2022-01-01 21:42:30;248.81;53.31;0.3809;-0.1673;-0.6181;-0.3191;50.5;49.0;48.4;47.4
R14;2022-01-01 21:43:00;248.42;53.15;-0.1761;-0.3643;-0.1704;-0.6263;49.7;49.3;48.8;47.6
R14;2022-01-01 21:43:30;248.03;52.99;-0.3184;-0.0146;-0.3264;-0.4074;50.2;48.9;48.6;47.7
R14;2022-01-01 21:44:00;247.64;52.83;-0.0596;-1.2598;-0.3356;-0.7028;49.6;47.8;48.2;47.7
R14;2022-01-01 21:44:30;247.26;52.67;-0.2192;-0.3666;-0.3343;-0.4152;50.8;49.5;49.1;47.9
R14;2022-01-01 21:45:00;246.88;52.51;-0.5195;-0.2671;-0.5065;-0.3334;50.4;49.5;49.1;48.3
R14;2022-01-01 21:45:30;246.50;52.34;-0.3652;-0.2227;-0.5527;-0.3744;51.3;49.0;49.5;47.8
R14;2022-01-01 21:46:00;246.13;52.17;-1.1699;-0.6525;-0.9109;-0.1746;50.5;49.4;49.0;48.2
R14;2022-01-01 21:46:30;245.76;52.00;0.1892;-0.0479;-0.4118;-0.3438;51.1;49.5;49.0;48.3
R14;2022-01-01 21:47:00;245.40;51.83;-0.1951;0.0227;0.0059;-0.3278;51.1;50.6;49.0;47.9
R14;2022-01-01 21:47:30;245.04;51.65;-0.1432;-0.4787;-0.4342;-0.3771;50.3;49.7;48.4;48.2
R14;2022-01-01 21:48:00;244.68;51.47;0.3089;0.1818;0.3117;-0.3593;51.0;50.2;49.1;48.0
R14;2022-01-01 21:48:30;244.33;51.29;-0.6464;-0.0539;0.1270;-0.2637;50.3;49.9;49.7;48.2
R14;2022-01-01 21:49:00;243.98;51.11;-0.0848;-0.2562;-0.2219;-0.1688;50.2;49.5;49.3;48.3
R14;2022-01-01 21:49:30;243.63;50.93;-0.1173;-0.1771;-0.3954;-0.1823;51.4;49.5;49.0;48.3
R14;2022-01-01 21:50:00;243.29;50.75;-0.2944;0.0222;-0.2269;-0.2407;50.4;49.3;49.3;47.9
R14;2022-01-01 21:50:30;242.95;50.56;-0.4715;0.3966;0.1080;-0.1669;51.0;49.8;48.8;48.0
R14;2022-01-01 21:51:00;242.62;50.38;0.0033;0.1338;-0.2000;-0.0618;50.9;49.7;49.2;48.6
R14;2022-01-01 21:51:30;242.29;50.19;-0.2954;0.5655;-0.1501;0.0359;51.0;49.3;49.5;48.8
R14;2022-01-01 21:52:00;241.96;50.00;0.4886;0.3401;-0.0600;0.2472;51.3;49.8;49.6;48.0
R14;2022-01-01 21:52:30;241.64;49.80;-0.1721;0.0426;0.3660;0.3841;50.9;49.1;48.9;47.6
R14;2022-01-01 21:53:00;241.32;49.61;-0.5822;0.1812;0.1533;-0.2237;50.8;50.0;48.3;47.6
R14;2022-01-01 21:53:30;241.00;49.42;-0.1958;-0.1178;0.3029;0.4302;50.7;48.9;48.6;48.3
R14;2022-01-01 21:54:00;240.69;49.22;-0.2209;0.2739;0.0104;0.4453;50.9;49.8;48.8;48.3
R14;2022-01-01 21:54:30;240.38;49.02;-0.3938;-0.2433;0.1230;0.3182;50.8;49.2;48.8;47.7
R14;2022-01-01 21:55:00;240.07;48.82;-0.1060;-0.0309;0.0247;0.1197;50.8;49.3;48.0;47.3
R14;2022-01-01 21:55:30;239.77;48.62;-0.3215;0.1989;0.4163;0.1435;51.1;49.9;48.2;47.8
R14;2022-01-01 21:56:00;239.47;48.42;-0.3639;-0.0086;0.5146;0.2155;51.1;50.3;48.2;47.2
R14;2022-01-01 21:56:30;239.17;48.21;0.0907;-0.0089;-0.1300;0.1602;51.1;50.0;47.6;46.9
R14;2022-01-01 21:57:00;238.88;48.01;0.4234;0.1412;0.1808;0.5729;51.6;49.9;48.4;47.4
R14;2022-01-01 21:57:30;238.59;47.80;0.6979;-0.2107;-0.0857;0.0646;51.1;49.9;47.4;46.8
R14;2022-01-01 21:58:00;238.31;47.59;-0.2565;0.0069;0.0198;0.2210;51.5;49.8;48.0;46.8
R14;2022-01-01 21:58:30;238.02;47.39;-0.2985;-0.0896;-0.4373;-0.3232;51.9;50.1;47.0;45.9
R14;2022-01-01 21:59:00;237.75;47.18;0.0118;-0.2704;-0.3719;-0.4529;51.3;49.7;47.7;46.1
R14;2022-01-01 21:59:30;237.47;46.96;-0.2921;-0.0703;-0.2300;-0.1619;51.3;50.5;47.3;46.8
R14;2022-01-01 22:00:00;237.20;46.75;-0.1332;-0.1515;-0.2599;-0.2397;50.9;50.5;47.5;46.3
R14;2022-01-01 22:00:30;236.93;46.54;-0.1401;0.1943;-0.0679;0.0081;51.9;49.6;47.0;47.7
R14;2022-01-01 22:01:00;236.66;46.32;-0.0865;0.1043;-0.1126;-0.0725;52.3;50.3;47.2;46.8
R14;2022-01-01 22:01:30;236.40;46.11;-0.2606;0.3079;0.0892;-0.3414;52.4;51.2;47.2;46.3
R14;2022-01-01 22:02:00;236.14;45.89;-0.6165;0.3233;-0.0319;-0.3056;51.9;50.5;47.0;46.3
R14;2022-01-01 22:02:30;235.88;45.67;0.5473;0.1011;0.1401;-0.3357;51.8;50.6;47.8;46.1
R14;2022-01-01 22:03:00;235.63;45.45;0.0486;0.0984;0.0206;-0.3332;52.0;50.5;46.7;46.6
R14;2022-01-01 22:03:30;235.38;45.23;0.1135;-0.0347;-0.7614;0.0245;52.0;50.7;47.8;46.4
R14;2022-01-01 22:04:00;235.13;45.01;0.0023;0.2268;0.0263;0.2636;52.1;50.8;47.5;46.4
R14;2022-01-01 22:04:30;234.88;44.79;0.7117;0.3311;-0.2872;0.3191;52.3;50.8;47.5;46.7
R14;2022-01-01 22:05:00;234.64;44.57;0.2381;0.1890;-0.3072;0.1238;52.5;50.7;47.1;46.1
R14;2022-01-01 22:05:30;234.40;44.34;0.4064;0.0222;-0.3893;0.0779;51.9;50.3;46.7;45.7
R14;2022-01-01 22:06:00;234.16;44.12;0.1912;0.4140;0.0304;0.1016;51.8;50.2;46.4;46.3
R14;2022-01-01 22:06:30;233.93;43.89;-0.6846;-0.7781;0.5336;0.5409;50.2;49.0;48.0;46.7
R14;2022-01-01 22:07:00;233.70;43.67;-0.0564;-0.2229;-0.0944;0.5449;51.0;49.6;46.8;46.2
R14;2022-01-01 22:07:30;233.47;43.44;-0.0277;-0.4950;-0.0643;0.5627;50.9;49.4;47.3;46.1
R14;2022-01-01 22:08:00;233.24;43.21;0.1517;-0.3371;0.7877;0.4567;51.3;50.2;46.4;46.3
R14;2022-01-01 22:08:30;233.02;42.98;-0.4302;-0.7674;-0.0668;-0.1726;50.3;49.5;46.3;44.9
R14;2022-01-01 22:09:00;232.80;42.75;-0.1679;-0.0744;0.1150;0.0671;51.4;50.0;47.4;46.5
R14;2022-01-01 22:09:30;232.58;42.52;0.0158;-0.5584;-0.4034;0.1606;50.7;49.7;46.0;45.9
R14;2022-01-01 22:10:00;232.37;42.29;-0.6769;-0.2030;0.4070;0.3209;51.0;50.1;46.8;45.9
R14;2022-01-01 22:10:30;232.15;42.06;-0.6804;0.1055;0.8171;0.2713;51.8;50.3;45.7;45.7
R14;2022-01-01 22:11:00;231.94;41.82;-0.5794;-0.1338;-0.0337;-0.3515;52.0;50.8;45.4;45.1
R14;2022-01-01 22:11:30;231.73;41.59;-0.7861;-0.0093;0.6216;-0.1224;51.6;50.0;46.0;45.3
R14;2022-01-01 22:12:00;231.53;41.36;0.1103;-0.1343;-0.0922;-0.3144;51.9;50.3;45.4;45.0
R14;2022-01-01 22:12:30;231.32;41.12;0.3091;-0.2365;-0.6760;-0.0217;51.9;50.2;45.9;45.5
R14;2022-01-01 22:13:00;231.12;40.89;0.5745;0.0174;-0.0174;0.0519;52.5;50.3;46.0;44.9
R14;2022-01-01 22:13:30;230.92;40.65;0.0091;-0.0781;-0.5330;-0.6596;50.7;49.8;44.3;44.4
R14;2022-01-01 22:14:00;230.73;40.41;-0.4329;-0.0413;-0.0086;-0.4524;50.6;49.6;45.4;44.4
R14;2022-01-01 22:14:30;230.53;40.18;-0.6573;-0.5786;-0.0983;-0.3473;50.2;49.3;44.9;44.4
R14;2022-01-01 22:15:00;230.34;39.94;0.8176;0.0271;0.2723;-0.1445;52.2;49.3;46.1;44.0
R14;2022-01-01 22:15:30;230.15;39.70;-0.1234;-0.3813;0.3472;0.0362;50.8;49.6;45.2;44.8
R14;2022-01-01 22:16:00;229.97;39.46;0.3940;0.0439;-0.2347;-0.2872;52.1;49.3;44.4;44.0
R14;2022-01-01 22:16:30;229.78;39.22;-0.1175;-0.2654;-0.1811;-0.3761;52.0;49.5;44.5;43.9
R14;2022-01-01 22:17:00;229.60;38.98;0.7957;0.1459;0.4211;0.1951;52.0;50.5;45.8;44.8
R14;2022-01-01 22:17:30;229.42;38.74;-1.1673;-0.0248;0.0746;0.1812;50.1;50.0;45.4;44.5
R14;2022-01-01 22:18:00;229.24;38.50;0.4174;0.2810;0.1194;0.3085;52.3;50.2;45.1;45.1
R14;2022-01-01 22:18:30;229.06;38.26;-0.7958;0.1039;-0.9304;0.2814;50.7;50.2;45.5;44.6
R14;2022-01-01 22:19:00;228.88;38.01;-0.0424;0.2854;-0.4188;-0.2369;51.2;51.0;44.9;44.4
R14;2022-01-01 22:19:30;228.71;37.77;0.4632;0.6011;-0.0993;-0.0794;51.3;50.7;45.6;44.3
R14;2022-01-01 22:20:00;228.54;37.53;1.0708;0.4123;-0.2949;0.5812;52.9;50.1;45.0;44.9
R14;2022-01-01 22:20:30;228.37;37.29;1.0855;0.0928;0.0739;-0.1576;52.1;50.8;45.9;44.2
R14;2022-01-01 22:21:00;228.20;37.04;0.2927;0.2763;0.6647;-0.1190;51.1;49.8;45.5;45.0
R14;2022-01-01 22:21:30;228.04;36.80;-0.4099;0.2689;-0.0031;-0.4119;49.9;49.9;44.6;44.4
R14;2022-01-01 22:22:00;227.88;36.55;-0.2194;-0.1926;-0.7973;-0.6025;49.7;49.4;45.7;44.4
R14;2022-01-01 22:22:30;227.71;36.31;-1.1602;0.1273;0.0473;-0.0619;49.4;49.2;46.9;45.4
R14;2022-01-01 22:23:00;227.55;36.06;0.0047;-0.2417;0.4099;-0.0325;51.3;49.5;45.4;44.9
R14;2022-01-01 22:23:30;227.40;35.82;-1.3875;0.2550;-0.1268;-0.8564;49.5;49.8;44.7;44.6
R14;2022-01-01 22:24:00;227.24;35.57;-0.2703;-0.3225;0.0180;-0.0710;49.9;48.3;45.2;44.9
R14;2022-01-01 22:24:30;227.08;35.32;-0.2888;0.1809;0.3422;-0.1636;49.9;48.8;45.4;44.9
R14;2022-01-01 22:25:00;226.93;35.08;-0.8678;0.0207;0.8402;0.2617;49.8;48.9;46.2;45.4
R14;2022-01-01 22:25:30;226.78;34.83;-0.2608;0.0054;-0.2419;0.2037;49.5;48.4;46.7;45.7
R14;2022-01-01 22:26:00;226.63;34.58;0.1945;0.4626;0.1267;0.2508;50.3;49.3;46.0;45.5
R14;2022-01-01 22:26:30;226.48;34.34;-0.6722;-0.1529;1.3179;0.7529;48.5;47.8;47.3;46.0
R14;2022-01-01 22:27:00;226.34;34.09;0.5428;-0.3094;0.4185;0.5688;49.0;47.8;46.9;46.1
R14;2022-01-01 22:27:30;226.19;33.84;-0.2051;-0.3898;0.5702;-0.0188;48.4;47.3;46.3;45.2
R14;2022-01-01 22:28:00;226.05;33.59;-1.1003;-0.6978;-0.0871;-0.0529;47.3;46.4;47.0;45.7
R14;2022-01-01 22:28:30;225.91;33.34;-0.9131;-0.3425;0.7448;0.2419;47.2;46.4;47.0;45.3
R14;2022-01-01 22:29:00;225.77;33.09;-0.3642;-0.6673;-0.5471;0.0112;47.4;46.4;45.6;44.8
R14;2022-01-01 22:29:30;225.63;32.85;0.2884;-0.0305;-0.0251;-0.4298;47.9;46.3;45.8;44.1
R14;2022-01-01 22:30:00;225.49;32.60;-1.1629;-0.5407;-0.5880;-0.4280;46.9;45.9;45.3;44.4
R14;2022-01-01 22:30:30;225.35;32.35;-1.3666;-0.5388;-0.5879;-0.3195;46.7;46.3;45.2;44.2
R14;2022-01-01 22:31:00;225.22;32.10;0.3636;0.2766;-1.0481;-0.8821;49.1;47.0;42.9;43.2
R14;2022-01-01 22:31:30;225.09;31.85;-0.5589;-0.3641;-0.5981;-0.5851;47.2;46.8;45.8;43.7
R14;2022-01-01 22:32:00;224.95;31.60;-0.4978;0.3327;-0.2154;-0.8639;47.6;47.7;45.4;43.7
R14;2022-01-01 22:32:30;224.82;31.35;1.4296;0.7191;-0.4227;-0.0645;49.8;48.6;45.4;44.7
R14;2022-01-01 22:33:00;224.70;31.10;1.3581;0.4859;0.7544;-0.0917;50.5;48.4;46.1;44.1
R14;2022-01-01 22:33:30;224.57;30.85;0.9137;0.1382;-0.1061;0.0292;48.3;47.3;46.4;44.8
R14;2022-01-01 22:34:00;224.44;30.60;-0.8877;-0.4396;-0.8943;0.0087;46.3;45.1;46.0;44.7
R14;2022-01-01 22:34:30;224.32;30.35;-0.6006;0.2471;0.3859;0.0142;47.8;47.5;44.8;44.8
R14;2022-01-01 22:35:00;224.19;30.10;0.1771;-0.0928;0.1689;0.2031;48.2;47.0;45.7;45.1
R14;2022-01-01 22:35:30;224.07;29.84;-0.3382;-0.0239;0.3784;0.3305;48.2;47.2;44.7;45.1
R14;2022-01-01 22:36:00;223.95;29.59;0.6838;0.3607;0.5595;-0.2080;49.2;48.1;44.9;44.4
R14;2022-01-01 22:36:30;223.83;29.34;-0.2510;0.0098;-0.1569;-0.1566;47.6;46.8;45.4;44.6
R14;2022-01-01 22:37:00;223.71;29.09;-0.3169;-0.1394;0.5143;-0.0074;49.2;47.1;46.0;44.9
R14;2022-01-01 22:37:30;223.59;28.84;1.4924;0.4182;-0.3108;0.0412;49.5;48.0;44.6;44.2
R14;2022-01-01 22:38:00;223.47;28.59;-0.9096;0.1269;-0.2121;-0.1715;48.0;47.2;45.1;44.2
R14;2022-01-01 22:38:30;223.36;28.34;-0.0763;0.0924;1.1213;-0.1494;49.1;47.8;45.3;44.2
R14;2022-01-01 22:39:00;223.24;28.09;-0.5353;0.2019;0.3392;-0.1538;48.2;47.6;46.0;44.6
R14;2022-01-01 22:39:30;223.13;27.83;-0.1368;-0.0697;0.3122;-0.2566;48.3;47.6;46.3;45.0
R14;2022-01-01 22:40:00;223.02;27.58;0.4262;0.5194;-0.4181;-0.0180;48.8;47.3;45.8;45.1
R14;2022-01-01 22:40:30;222.91;27.33;0.2027;0.1298;0.3666;-0.0584;47.1;46.4;46.3;44.9
R14;2022-01-01 22:41:00;222.80;27.08;-0.0378;-0.4600;-0.0314;0.1827;46.9;45.1;45.7;45.2
R14;2022-01-01 22:41:30;222.69;26.83;-0.5704;-0.6358;0.0827;0.0299;47.2;46.0;46.2;45.1
R14;2022-01-01 22:42:00;222.58;26.58;-0.7993;-0.4946;0.0756;0.4347;47.5;46.9;46.7;45.1
R14;2022-01-01 22:42:30;222.47;26.32;-1.0948;-0.4630;-0.3095;0.1429;46.2;45.6;46.4;45.1
R14;2022-01-01 22:43:00;222.37;26.07;-0.8615;-0.5545;0.9654;0.2493;47.7;46.0;45.9;45.6
R14;2022-01-01 22:43:30;222.26;25.82;1.4020;0.1607;-0.6032;0.0267;49.1;47.5;44.6;44.4
R14;2022-01-01 22:44:00;222.16;25.57;-0.2185;-0.2326;0.1884;-0.1013;46.4;46.7;45.9;44.6
R14;2022-01-01 22:44:30;222.05;25.32;-0.2603;-0.5410;-0.3747;-0.0293;47.5;47.0;44.5;44.9
R14;2022-01-01 22:45:00;221.95;25.07;-0.9106;-0.4786;-0.4170;-0.3328;47.3;46.7;44.5;43.8
R14;2022-01-01 22:45:30;221.85;24.81;0.1182;0.1239;-0.5565;-0.4685;47.8;46.3;43.8;43.2
R14;2022-01-01 22:46:00;221.75;24.56;-0.4663;0.0665;-0.9448;-0.6428;48.0;46.9;43.6;43.2
R14;2022-01-01 22:46:30;221.65;24.31;0.1001;0.2433;-0.7958;-0.4346;48.1;47.1;43.6;43.0
R14;2022-01-01 22:47:00;221.55;24.06;-0.6150;-0.0655;-0.5376;-0.5134;47.6;47.0;42.9;42.4
