PRN;Time_UTC;Azimuth;Elevation;MP_C1C;MP_C1P;MP_C2C;MP_C2P;SNR_S1C;SNR_S1P;SNR_S2C;SNR_S2P
R01;2022-01-01 00:33:30;146.08;43.96;0.5890;0.3285;-0.2803;-0.2584;46.7;45.7;41.1;40.6
R01;2022-01-01 00:34:00;145.92;44.22;-0.1325;0.1607;1.0097;-0.1822;46.4;45.6;41.4;40.4
R01;2022-01-01 00:34:30;145.76;44.48;-0.1851;0.1560;0.3754;-0.0571;46.4;44.8;41.9;40.7
R01;2022-01-01 00:35:00;145.60;44.74;0.5123;0.1893;-0.1239;0.0628;46.8;45.2;42.0;40.9
R01;2022-01-01 00:35:30;145.44;45.00;-0.5811;-0.0223;-0.2672;0.1633;46.2;45.5;41.3;41.0
R01;2022-01-01 00:36:00;145.27;45.26;-0.1629;-0.0941;0.6498;-0.0406;46.9;44.8;42.1;40.5
R01;2022-01-01 00:36:30;145.10;45.52;0.0084;-0.2017;-0.1078;-0.0149;45.8;44.8;41.4;41.4
R01;2022-01-01 00:37:00;144.93;45.78;-1.4172;-0.1221;0.6254;-0.1817;44.5;42.0;41.1;40.4
R01;2022-01-01 00:37:30;144.75;46.04;-0.4304;0.0315;0.4209;0.2346;46.6;44.9;41.4;40.4
R01;2022-01-01 00:38:00;144.57;46.30;-0.7039;-0.0860;0.0374;-0.0551;46.1;44.5;40.9;40.5
R01;2022-01-01 00:38:30;144.40;46.55;0.6307;-0.0915;0.4881;0.1390;46.5;45.1;41.8;40.6
R01;2022-01-01 00:39:00;144.21;46.81;0.0476;-0.0905;-0.4115;-0.2966;46.2;44.6;42.0;40.0
R01;2022-01-01 00:39:30;144.03;47.07;-0.0577;-0.3256;0.2294;-0.3979;45.9;44.9;40.4;40.2
R01;2022-01-01 00:40:00;143.84;47.32;0.1245;-0.0386;-0.6240;-0.3483;46.2;45.0;41.6;41.4
R01;2022-01-01 00:40:30;143.65;47.58;-0.5806;0.1385;-0.0690;-0.1442;46.3;44.3;41.6;40.4
R01;2022-01-01 00:41:00;143.45;47.83;-0.4393;-0.1825;0.2725;-0.2758;45.4;44.7;40.6;40.4
R01;2022-01-01 00:41:30;143.26;48.08;0.0048;-0.4170;0.1947;-0.1206;45.8;44.9;41.6;41.5
R01;2022-01-01 00:42:00;143.06;48.34;-0.1682;-0.0653;0.3840;-0.0581;45.5;44.9;41.8;40.6
R01;2022-01-01 00:42:30;142.85;48.59;-0.4440;-0.0682;-0.1646;0.0023;45.2;44.8;42.4;41.5
R01;2022-01-01 00:43:00;142.65;48.84;-0.0624;-0.5126;0.4064;0.2361;46.6;45.0;42.5;41.9
R01;2022-01-01 00:43:30;142.44;49.09;-0.0906;-0.5657;0.8787;0.4619;45.1;44.4;43.0;42.4
R01;2022-01-01 00:44:00;142.22;49.34;-0.3567;-0.6359;0.8034;0.3562;46.2;45.4;43.4;42.7
